ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
2676,7016,Individual,Dr. Ayman AL ZAWAHIRI,false,true,false,true
4688,6935,Entity,ABU SAYYAF GROUP,true,,false,
4690,6963,Entity,ARMED ISLAMIC GROUP,true,,false,
4697,13804,Entity,HIZBALLAH,true,,false,false
6725,7199,Entity,ISLAMIC MOVEMENT OF UZBEKISTAN,true,,false,
6896,7031,Entity,ASBAT AL-ANSAR,true,,,
6898,7249,Entity,LIBYAN ISLAMIC FIGHTING GROUP,true,,,
6900,7205,Entity,ISLAMIC ARMY OF ADEN,true,,,
6911,6972,Entity,WAFA HUMANITARIAN ORGANIZATION,true,,false,
6912,6968,Entity,AL RASHID TRUST,true,,false,
6919,7008,Individual,Abdelkarim Hussein Mohamed AL-NASSER,true,,,
6920,7015,Individual,Ibrahim Salih Mohammed AL-YACOUB,true,true,,
6925,6925,Individual,Ahmed Khalfan GHAILANI,true,true,false,
6931,7478,Individual,Abdul Rahman YASIN,true,true,false,true
6935,7029,Entity,JAISH-I-MOHAMMED,true,,false,
6936,7212,Entity,JAM'YAH TA'AWUN AL-ISLAMIA,true,,false,
6937,7407,Entity,RABITA TRUST,true,,,
6939,6973,Individual,Muhammad AL-HAMATI,false,,true,
6940,6944,Individual,Amin AL-HAQ,false,false,true,
6941,6997,Individual,Salim Ahmad Salim HAMDAN,true,false,false,true
6945,7099,Individual,Bilal BIN MARWAN,true,false,,
6948,6974,Individual,Riad HIJAZI,false,false,false,true
6950,6932,Individual,Omar Mahmoud UTHMAN,true,true,false,
7006,6995,Individual,Hassan Dahir AWEYS,true,false,false,
7135,6901,Individual,Abdul MAJEED,false,true,true,
7138,7517,Individual,Mohammed TUFAIL,true,true,false,
7148,6998,Individual,Boubekeur BOULGHITI,true,true,false,false
7149,7210,Entity,REVIVAL OF ISLAMIC HERITAGE SOCIETY,true,,false,
7150,6927,Individual,Abd al-Muhsin AL-LIBI,false,false,false,true
